model,object,test_r2

generation,solar_30k,0.9431990086279478
generation,solar_5k,0.9189424996379056
consumption,1,0.39528135978561396
consumption,5,0.2552804223785309
generation,solar_30k,0.9431990086279478
generation,solar_5k,0.9189424996379056
consumption,1,0.39528135978561396
consumption,5,0.2552804223785309
generation,solar_30k,0.9431990086279478
generation,solar_5k,0.9189424996379056
consumption,1,0.39528135978561396
consumption,5,0.2552804223785309
